,Date,Symbol,market_cap
0,2022-04-01,btc,865010142444.9791
1,2022-04-02,btc,879144224206.3806
2,2022-04-03,btc,871050305858.7916
3,2022-04-04,btc,882346640419.069
4,2022-04-05,btc,885584977681.2438
5,2022-04-06,btc,867247321783.443
6,2022-04-07,btc,820983263462.4961
7,2022-04-08,btc,827032889944.6309
8,2022-04-09,btc,804272478980.6077
9,2022-04-10,btc,812734148492.5116
10,2022-04-11,btc,803574629064.9272
11,2022-04-12,btc,752680814425.1921
12,2022-04-13,btc,764314681923.3135
13,2022-04-14,btc,783560801481.9719
14,2022-04-15,btc,759703443634.6515
15,2022-04-16,btc,771666602547.5923
16,2022-04-17,btc,770439827829.2395
17,2022-04-18,btc,755627152747.4514
18,2022-04-19,btc,776463403746.4385
19,2022-04-20,btc,789141783336.2104
20,2022-04-21,btc,787437397453.9304
21,2022-04-22,btc,770787243369.5001
22,2022-04-23,btc,756144456297.8489
23,2022-04-24,btc,752414150959.3553
24,2022-04-25,btc,752446283899.8965
25,2022-04-26,btc,770112436973.4149
26,2022-04-27,btc,725434540422.046
27,2022-04-28,btc,746473028158.29
28,2022-04-29,btc,756090806420.8264
29,2022-04-30,btc,735829877665.6912
30,2022-05-01,btc,719611115951.2947
31,2022-05-02,btc,733294957352.5364
32,2022-05-03,btc,733787526677.6703
33,2022-05-04,btc,718542028695.8999
34,2022-05-05,btc,755764276888.7715
35,2022-05-06,btc,696020943881.887
36,2022-05-07,btc,687093350325.4445
37,2022-05-08,btc,678702448510.6605
38,2022-05-09,btc,648514321641.9902
39,2022-05-10,btc,576197842487.6378
40,2022-05-11,btc,590644412746.6844
41,2022-05-12,btc,549294001873.1765
42,2022-05-13,btc,555266177876.6213
43,2022-05-14,btc,558053182541.2809
44,2022-05-15,btc,573777699744.01
45,2022-05-16,btc,596346266888.6597
46,2022-05-17,btc,569801943005.2971
47,2022-05-18,btc,581272773175.8237
48,2022-05-19,btc,547927169401.20306
49,2022-05-20,btc,578678245847.8763
50,2022-05-21,btc,557201657280.7389
51,2022-05-22,btc,561696351558.8424
52,2022-05-23,btc,578090387085.146
53,2022-05-24,btc,555459414424.212
54,2022-05-25,btc,564885248021.9939
55,2022-05-26,btc,563577022957.9133
56,2022-05-27,btc,559066076343.6685
57,2022-05-28,btc,545752899521.8662
58,2022-05-29,btc,554938694217.2793
59,2022-05-30,btc,561771345708.952
60,2022-05-31,btc,604926607440.7722
